ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-04-28,43.93290302,19.341678846471623,47.54979958312698,43.93290302,43.93290302,-10.968499886306974,-10.968499886306974,-10.968499886306974,-10.968499886306974,-10.968499886306974,-10.968499886306974,0.0,0.0,0.0,32.964403133693025
2018-04-29,43.8585418202,5.143095934048917,34.2161790526542,43.8585418202,43.8585418202,-23.341087339885387,-23.341087339885387,-23.341087339885387,-23.341087339885387,-23.341087339885387,-23.341087339885387,0.0,0.0,0.0,20.517454480314615
2018-04-30,43.7841806204,44.74857689999189,72.49224087276203,43.7841806204,43.7841806204,15.266866267692867,15.266866267692867,15.266866267692867,15.266866267692867,15.266866267692867,15.266866267692867,0.0,0.0,0.0,59.05104688809287
2018-05-01,43.7098194206,39.192041020916385,65.72709091034739,43.7098194206,43.7098194206,8.631804642513261,8.631804642513261,8.631804642513261,8.631804642513261,8.631804642513261,8.631804642513261,0.0,0.0,0.0,52.34162406311326
2018-05-02,43.6354582208,37.28591583647337,64.08995498715629,43.6354582208,43.6354582208,7.077521191864665,7.077521191864665,7.077521191864665,7.077521191864665,7.077521191864665,7.077521191864665,0.0,0.0,0.0,50.712979412664666
2018-05-03,43.561097021,31.15611074327954,59.56198324424105,43.561097021,43.561097021,2.168193160003695,2.168193160003695,2.168193160003695,2.168193160003695,2.168193160003695,2.168193160003695,0.0,0.0,0.0,45.7292901810037
2018-05-04,43.48673582119999,31.118072181294654,59.363015735899545,43.48673582119999,43.48673582119999,1.1652019641514484,1.1652019641514484,1.1652019641514484,1.1652019641514484,1.1652019641514484,1.1652019641514484,0.0,0.0,0.0,44.65193778535144
2018-05-05,43.415745691297,18.547084780392137,46.187235041936766,43.415745691297,43.415745691297,-10.96849988631051,-10.96849988631051,-10.96849988631051,-10.96849988631051,-10.96849988631051,-10.96849988631051,0.0,0.0,0.0,32.44724580498649
2018-05-06,43.344755561394,7.111937096980906,34.54183616447466,43.344755561394,43.344755561394,-23.341087339890947,-23.341087339890947,-23.341087339890947,-23.341087339890947,-23.341087339890947,-23.341087339890947,0.0,0.0,0.0,20.003668221503055
2018-05-07,43.273765431491,44.09076667958967,71.78806509830524,43.273765431491,43.273765431491,15.266866267663346,15.266866267663346,15.266866267663346,15.266866267663346,15.266866267663346,15.266866267663346,0.0,0.0,0.0,58.540631699154346
2018-05-08,43.202775301588,37.07834666704982,66.17273212877278,43.202775301588,43.202775301588,8.631804642488232,8.631804642488232,8.631804642488232,8.631804642488232,8.631804642488232,8.631804642488232,0.0,0.0,0.0,51.83457994407623
2018-05-09,43.131785171684996,36.12312282270711,64.52104482156102,43.131785171684996,43.131785171684996,7.077521191890979,7.077521191890979,7.077521191890979,7.077521191890979,7.077521191890979,7.077521191890979,0.0,0.0,0.0,50.209306363575976
2018-05-10,43.060795041782,31.951623617906048,58.7676132172304,43.060795041782,43.060795041782,2.1681931600202566,2.1681931600202566,2.1681931600202566,2.1681931600202566,2.1681931600202566,2.1681931600202566,0.0,0.0,0.0,45.22898820180226
2018-05-11,42.98980491187899,31.473715790772,58.0582334645564,42.98980491187899,42.98980491187899,1.1652019641795082,1.1652019641795082,1.1652019641795082,1.1652019641795082,1.1652019641795082,1.1652019641795082,0.0,0.0,0.0,44.1550068760585
2018-05-12,42.92012649702599,17.845649983880765,45.84629871695782,42.92012649702599,42.92012649702599,-10.968499886319318,-10.968499886319318,-10.968499886319318,-10.968499886319318,-10.968499886319318,-10.968499886319318,0.0,0.0,0.0,31.951626610706672
